locus_tag,ftype,length_bp,gene,EC_number,COG,product,strain,functional_category
JOGPPCME_01390,CDS,216,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01391,CDS,1134,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01392,CDS,1095,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01393,CDS,183,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01394,CDS,201,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01395,CDS,2565,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01396,CDS,684,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01397,CDS,279,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01398,CDS,237,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01399,CDS,528,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01400,CDS,384,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01401,CDS,1359,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01402,CDS,1383,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01403,CDS,264,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01404,CDS,189,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01405,CDS,663,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01406,rRNA,117,,,,5S ribosomal RNA,VFXK01000008,Other
JOGPPCME_01407,CDS,156,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01408,CDS,105,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01409,CDS,264,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01410,CDS,234,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01411,CDS,153,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01412,CDS,6777,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01413,CDS,171,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01414,CDS,162,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01415,CDS,1611,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01416,CDS,234,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01417,CDS,198,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01418,CDS,249,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01419,CDS,369,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01420,tRNA,82,,,,tRNA-Leu(caa),VFXK01000008,Other
JOGPPCME_01421,CDS,372,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01422,CDS,180,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01423,CDS,1815,pknD_5,2.7.11.1,,Serine/threonine-protein kinase PknD,VFXK01000008,Regulation
JOGPPCME_01424,CDS,921,purC,6.3.2.6,COG0152,Phosphoribosylaminoimidazole-succinocarboxamide synthase,VFXK01000008,Metabolism
JOGPPCME_01425,rRNA,117,,,,5S ribosomal RNA,VFXK01000008,Other
JOGPPCME_01426,CDS,138,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01427,CDS,204,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01428,CDS,252,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01429,CDS,249,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01430,CDS,366,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01431,CDS,756,cysC,2.7.1.25,,Adenylyl-sulfate kinase,VFXK01000008,Regulation
JOGPPCME_01432,CDS,864,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01433,CDS,225,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01434,CDS,1896,ftsP,,,Cell division protein FtsP,VFXK01000008,Other
JOGPPCME_01435,CDS,159,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01436,CDS,6453,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01437,CDS,318,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01438,CDS,1056,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01439,CDS,2073,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01440,CDS,279,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01441,CDS,2907,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01442,CDS,558,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01443,CDS,255,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01444,CDS,702,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01445,CDS,2688,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01446,CDS,213,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01447,CDS,315,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01448,CDS,132,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01449,CDS,153,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01450,CDS,216,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01451,CDS,228,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01452,CDS,2160,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01453,CDS,222,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01454,CDS,180,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01455,CDS,819,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01456,CDS,408,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01457,CDS,129,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01458,CDS,1470,nrgA,,COG0004,Ammonium transporter,VFXK01000008,Transport
JOGPPCME_01459,CDS,282,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01460,CDS,1518,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01461,CDS,273,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01462,CDS,1722,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01463,CDS,132,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01464,CDS,345,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01465,CDS,195,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01466,CDS,1485,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01467,tRNA,75,,,,tRNA-Val(aac),VFXK01000008,Other
JOGPPCME_01468,CDS,1146,norW,1.18.1.-,,Nitric oxide reductase FlRd-NAD(+) reductase,VFXK01000008,Other
JOGPPCME_01469,CDS,657,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01470,CDS,1251,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01471,CDS,1536,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01472,CDS,189,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01473,CDS,267,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01474,CDS,954,nit1,3.5.1.128,,Deaminated glutathione amidase,VFXK01000008,Other
JOGPPCME_01475,CDS,222,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01476,CDS,699,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01477,CDS,213,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01478,CDS,1380,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01479,CDS,246,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01480,CDS,105,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01481,CDS,162,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01482,CDS,1785,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01483,CDS,3246,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01484,CDS,255,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01485,CDS,309,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01486,CDS,162,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01487,CDS,3105,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01488,CDS,1155,ywlC,2.7.7.87,COG0009,Threonylcarbamoyl-AMP synthase,VFXK01000008,Metabolism
JOGPPCME_01489,CDS,210,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01490,CDS,2790,,7.2.2.10,,Calcium-transporting ATPase 1,VFXK01000008,Other
JOGPPCME_01491,CDS,819,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01492,CDS,111,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01493,CDS,150,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01494,CDS,219,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01495,CDS,90,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01496,CDS,1272,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01497,CDS,861,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01498,CDS,1260,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01499,CDS,1044,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01500,CDS,951,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01501,CDS,246,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01502,CDS,225,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01503,CDS,210,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01504,CDS,297,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01505,CDS,174,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01506,CDS,231,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01507,CDS,165,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01508,CDS,948,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01509,CDS,132,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01510,CDS,153,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01511,CDS,315,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01512,CDS,447,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01513,tRNA,72,,,,tRNA-Met(cat),VFXK01000008,Other
JOGPPCME_01514,CDS,237,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01515,CDS,306,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01516,CDS,171,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01517,CDS,174,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01518,CDS,324,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01519,tRNA,72,,,,tRNA-Met(cat),VFXK01000008,Other
JOGPPCME_01520,CDS,498,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01521,CDS,3174,ftsH_3,3.4.24.-,,ATP-dependent zinc metalloprotease FtsH,VFXK01000008,Other
JOGPPCME_01522,CDS,162,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01523,CDS,1194,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01524,CDS,666,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01525,CDS,357,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01526,CDS,1266,fpgS,6.3.2.17,,Folylpolyglutamate synthase,VFXK01000008,Metabolism
JOGPPCME_01527,CDS,1656,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01528,CDS,300,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01529,CDS,594,pkwA,2.7.11.1,,putative serine/threonine-protein kinase PkwA,VFXK01000008,Regulation
JOGPPCME_01530,CDS,930,mtnA,5.3.1.23,,Putative methylthioribose-1-phosphate isomerase,VFXK01000008,Other
JOGPPCME_01531,CDS,1371,,,,Gluconeogenesis factor,VFXK01000008,Other
JOGPPCME_01532,CDS,141,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01533,CDS,210,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01534,CDS,219,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01535,CDS,123,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01536,CDS,177,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01537,CDS,108,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01538,CDS,225,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01539,CDS,195,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01540,CDS,222,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01541,CDS,138,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01542,CDS,2421,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01543,CDS,666,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01544,CDS,126,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01545,CDS,261,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01546,CDS,159,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01547,CDS,1695,kbl,2.3.1.29,,2-amino-3-ketobutyrate coenzyme A ligase,VFXK01000008,Metabolism
JOGPPCME_01548,CDS,204,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01549,CDS,1584,uup,3.6.1.-,,ATP-binding protein Uup,VFXK01000008,Other
JOGPPCME_01550,CDS,1062,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01551,CDS,1740,rssB,,,Regulator of RpoS,VFXK01000008,Regulation
JOGPPCME_01552,CDS,219,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01553,CDS,192,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01554,CDS,162,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01555,CDS,1113,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01556,CDS,162,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01557,CDS,1338,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01558,CDS,180,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01559,CDS,303,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01560,CDS,213,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01561,CDS,1398,pepQ,3.4.13.9,,Xaa-Pro dipeptidase,VFXK01000008,Other
JOGPPCME_01562,CDS,144,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01563,CDS,942,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01564,CDS,972,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01565,CDS,687,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01566,CDS,1185,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01567,CDS,2439,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01568,CDS,993,fixB,,,Protein FixB,VFXK01000008,Other
JOGPPCME_01569,CDS,174,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01570,CDS,924,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01571,CDS,2958,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01572,CDS,870,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01573,CDS,153,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01574,CDS,240,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01575,CDS,2160,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01576,CDS,4671,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01577,CDS,1782,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01578,CDS,270,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01579,CDS,594,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01580,CDS,282,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01581,CDS,636,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01582,CDS,144,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01583,CDS,270,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01584,CDS,549,cds1,4.4.1.1,,L-cysteine desulfhydrase Cds1,VFXK01000008,Other
JOGPPCME_01585,CDS,393,,,,hypothetical protein,VFXK01000008,Other
JOGPPCME_01586,CDS,174,,,,hypothetical protein,VFXK01000008,Other
LFNLGLJK_00001,CDS,237,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00002,CDS,369,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00003,CDS,3015,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00004,CDS,1281,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00005,CDS,135,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00006,CDS,210,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00007,CDS,990,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00008,CDS,2025,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00009,CDS,732,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00010,CDS,231,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00011,CDS,249,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00012,CDS,312,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00013,CDS,2742,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00014,CDS,165,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00015,CDS,531,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00016,CDS,192,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00017,CDS,180,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00018,CDS,321,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00019,CDS,513,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00020,CDS,1011,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00021,CDS,153,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00022,CDS,261,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00023,CDS,798,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00024,CDS,222,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00025,CDS,159,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00026,CDS,138,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00027,CDS,486,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00028,CDS,207,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00029,tRNA,76,,,,tRNA-Arg(ccg),VFXK01000009,Other
LFNLGLJK_00030,CDS,186,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00031,CDS,168,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00032,CDS,294,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00033,CDS,117,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00034,CDS,345,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00035,CDS,387,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00036,CDS,132,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00037,CDS,435,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00038,CDS,1068,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00039,CDS,171,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00040,CDS,213,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00041,CDS,306,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00042,CDS,2556,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00043,CDS,867,fadH,1.3.1.34,COG1028,"putative 2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]",VFXK01000009,Other
LFNLGLJK_00044,CDS,159,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00045,CDS,177,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00046,CDS,1044,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00047,CDS,678,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00048,CDS,312,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00049,CDS,2601,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00050,CDS,210,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00051,CDS,228,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00052,CDS,234,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00053,CDS,489,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00054,CDS,174,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00055,CDS,1671,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00056,CDS,555,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00057,CDS,726,nnrE,5.1.99.6,,NAD(P)H-hydrate epimerase,VFXK01000009,Other
LFNLGLJK_00058,CDS,1542,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00059,CDS,174,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00060,CDS,846,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00061,CDS,957,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00062,CDS,543,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00063,tRNA,94,,,,tRNA-Ser(cga),VFXK01000009,Other
LFNLGLJK_00064,CDS,108,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00065,CDS,150,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00066,CDS,123,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00067,CDS,129,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00068,CDS,123,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00069,CDS,174,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00070,CDS,1239,miaA,2.5.1.75,,tRNA dimethylallyltransferase,VFXK01000009,Other
LFNLGLJK_00071,CDS,354,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00072,CDS,2283,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00073,CDS,1860,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00074,CDS,189,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00075,CDS,108,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00076,CDS,255,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00077,tRNA,75,,,,tRNA-Asn(gtt),VFXK01000009,Other
LFNLGLJK_00078,CDS,1020,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00079,CDS,180,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00080,CDS,5001,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00081,CDS,1467,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00082,CDS,1011,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00083,CDS,276,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00084,CDS,1350,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00085,CDS,174,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00086,CDS,486,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00087,CDS,234,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00088,CDS,309,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00089,CDS,1533,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00090,CDS,1248,mnmA,2.8.1.13,,tRNA-specific 2-thiouridylase MnmA,VFXK01000009,Other
LFNLGLJK_00091,CDS,1878,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00092,CDS,162,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00093,CDS,174,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00094,CDS,168,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00095,CDS,3471,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00096,CDS,2211,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00097,CDS,231,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00098,CDS,228,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00099,CDS,453,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00100,CDS,210,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00101,CDS,783,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00102,CDS,186,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00103,CDS,786,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00104,CDS,801,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00105,tRNA,73,,,,tRNA-Gly(tcc),VFXK01000009,Other
LFNLGLJK_00106,CDS,2073,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00107,CDS,240,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00108,CDS,162,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00109,CDS,285,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00110,CDS,2682,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00111,CDS,165,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00112,CDS,150,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00113,CDS,219,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00114,CDS,1599,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00115,CDS,285,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00116,CDS,213,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00117,CDS,2943,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00118,CDS,2271,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00119,CDS,378,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00120,CDS,870,dnaJ,,,Chaperone protein DnaJ,VFXK01000009,Stress response
LFNLGLJK_00121,CDS,111,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00122,CDS,1728,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00123,CDS,1017,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00124,CDS,129,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00125,CDS,816,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00126,CDS,129,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00127,CDS,717,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00128,CDS,267,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00129,CDS,681,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00130,CDS,192,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00131,CDS,114,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00132,CDS,345,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00133,CDS,837,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00134,CDS,777,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00135,CDS,150,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00136,CDS,405,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00137,CDS,129,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00138,CDS,675,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00139,CDS,252,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00140,CDS,492,,,,hypothetical protein,VFXK01000009,Other
LFNLGLJK_00141,CDS,168,,,,hypothetical protein,VFXK01000009,Other
